ID,Date,Address,ComplaintType,Status,DateModified,CleanAddress,MatchAddress,lat,lng,parcelId,MatchType
 1410,2014/06/24 00:00:00.000000000,240 E TIVERTON WAY,OCCUPANCY ISSUE,CLOSED,2014/10/06 15:30:00.000000000,240 E TIVERTON WAY,240 E TIVERTON WAY,37.97726376,-84.51975979,26075500,Exact Parcel
 3501,2014/06/12 00:00:00.000000000,2205 VERSAILLES RD,SIGNAGE,CLOSED,2014/06/23 07:49:00.000000000,2205 VERSAILLES RD,2205 VERSAILLES RD,38.04740453,-84.54936755,10373558,Exact Parcel
 10269,2011/01/06 00:00:00.000000000,1228 MORNING SIDE DR,OTHER,CLOSED,2011/05/11 16:13:00.000000000,1228 MORNING SIDE DR,1228 MORNING SIDE DR,38.00880844,-84.40521658,19320380,Exact Parcel
 10271,2011/01/07 00:00:00.000000000,901 GEORGETOWN ST,NO PERMIT,CLOSED,2011/01/07 10:10:00.000000000,901 GEORGETOWN ST,901 GEORGETOWN ST,38.07077196,-84.5051814,12120200,Exact Parcel
 10272,2011/01/11 00:00:00.000000000,657 E LOUDON AVE,OTHER,CLOSED,2011/01/27 10:47:00.000000000,657 E LOUDON AVE,657 E LOUDON AVE,38.04982554,-84.47203264,14855950,Exact Parcel
 10273,2011/01/10 00:00:00.000000000,2830 LIBERTY RD,OTHER,CLOSED,2011/01/20 09:39:00.000000000,2830 LIBERTY RD,2830 LIBERTY RD,38.01320268,-84.42755392,20912085,Exact Parcel
 10274,2011/01/11 00:00:00.000000000,2822 LIBERTY RD,ILLEGAL BUSINESS,CLOSED,2011/01/20 09:40:00.000000000,2822 LIBERTY RD,2822 LIBERTY RD,38.01350889,-84.42775584,21875450,Exact Parcel
 10275,2011/01/11 00:00:00.000000000,845 E LOUDON AVE,GRAVEL,CLOSED,2011/01/27 10:48:00.000000000,845 E LOUDON AVE,845 E LOUDON AVE,38.04339861,-84.46619135,21218600,Exact Parcel
 10276,2011/01/11 00:00:00.000000000,4531 ATHENS BOONESBORO RD,ILLEGAL BUSINESS,CLOSED,2011/01/13 08:02:00.000000000,4531 ATHENS BOONESBORO RD,4531 ATHENS BOONESBORO RD,37.97699241,-84.41320139,26578600,Exact Parcel
 10277,2011/01/11 00:00:00.000000000,2651 PARIS PIKE,ILLEGAL BUSINESS,CLOSED,2011/02/10 16:44:00.000000000,2651 PARIS PIKE,2651 PARIS PIKE,38.08610086,-84.44021711,23515550,Exact Parcel
 10278,2011/01/12 00:00:00.000000000,661 COFFEE TREE LN,NO PERMIT,CLOSED,2011/03/09 09:16:00.000000000,661 COFFEE TREE LN,661 COFFEE TREE LN,38.06614649,-84.50188106,38087060,Exact Parcel
 10279,2011/01/13 00:00:00.000000000,339 OHIO ST,OTHER,CLOSED,2011/02/17 10:27:00.000000000,339 OHIO ST,339 OHIO ST,38.04658125,-84.48734967,15949200,Exact Parcel
 10280,2011/01/13 00:00:00.000000000,682 GAY PL,OTHER,CLOSED,2011/02/09 16:31:00.000000000,682 GAY PL,682 GAY PL,38.05339764,-84.46119282,11562050,Exact Parcel
 10281,2011/01/14 00:00:00.000000000,1225 EASTLAND DR,NO PERMIT,CLOSED,2012/02/23 10:38:00.000000000,1225 EASTLAND DR,1225 EASTLAND DR,38.04619969,-84.4593414,15493650,Exact Parcel
 10282,2011/01/18 00:00:00.000000000,2963 CADENTOWN RD,ILLEGAL BUSINESS,CLOSED,2011/02/25 09:24:00.000000000,2963 CADENTOWN RD,2963 CADENTOWN RD,38.01049944,-84.42492643,20337600,Exact Parcel
 10283,2011/01/18 00:00:00.000000000,287 S LIMESTONE,NO PERMIT,CLOSED,2011/01/28 11:21:00.000000000,287 S LIMESTONE,287 S LIMESTONE,38.04370864,-84.50136678,17008200,Exact Parcel
 10284,2011/01/18 00:00:00.000000000,3401 WALLINGFORD DR,OTHER,CLOSED,2011/03/15 13:55:00.000000000,3401 WALLINGFORD DR,3401 WALLINGFORD DR,37.991244,-84.5460995,21379450,Exact Parcel
 10285,2011/01/18 00:00:00.000000000,321 GROSVENOR AVE,OCCUPANCY ISSUE,CLOSED,2011/02/22 11:11:00.000000000,321 GROSVENOR AVE,321 GROSVENOR AVE,38.03996348,-84.49536312,15589955,Exact Parcel
 10286,2011/01/18 00:00:00.000000000,209 LINCOLN AVE,ILLEGAL BUSINESS,CLOSED,2011/01/25 09:53:00.000000000,209 LINCOLN AVE,209 LINCOLN AVE,38.03363857,-84.47651201,43402600,Exact Parcel
 10287,2011/01/19 00:00:00.000000000,5902 OLD RICHMOND RD,SIGNAGE,CLOSED,2011/01/28 14:43:00.000000000,5902 OLD RICHMOND RD,5902 OLD RICHMOND RD,37.93872952,-84.40515973,26781900,Exact Parcel
 10288,2011/01/20 00:00:00.000000000,3279 ROXBURG DR,ILLEGAL BUSINESS,CLOSED,2011/01/24 08:42:00.000000000,3279 ROXBURG DR,3279 ROXBURG DR,37.99725324,-84.55938919,26067700,Exact Parcel
 10289,2011/01/20 00:00:00.000000000,2613 CASHEL CT,OTHER,CLOSED,2011/07/28 15:33:00.000000000,2613 CASHEL CT,2613 CASHEL CT,38.01178343,-84.44487182,19344350,Exact Parcel
 10290,2011/01/20 00:00:00.000000000,2358 NICHOLASVILLE RD,SIGNAGE,CLOSED,2011/01/28 10:08:00.000000000,2358 NICHOLASVILLE RD,2358 NICHOLASVILLE RD,38.00399419,-84.51799036,38163360,Exact Parcel
 10291,2011/01/21 00:00:00.000000000,2117 LADERA LN,OTHER,CLOSED,2011/03/07 08:38:00.000000000,2117 LADERA LN,2117 LADERA LN,37.98451387,-84.58154868,38048460,Exact Parcel
 10292,2011/01/24 00:00:00.000000000,755 MAPLE AVE,NO PERMIT,CLOSED,2011/01/28 11:08:00.000000000,755 MAPLE AVE,755 MAPLE AVE,38.05423346,-84.4801242,10980200,Exact Parcel
 10293,2011/01/25 00:00:00.000000000,333 BLUE GRASS AVE,ILLEGAL BUSINESS,CLOSED,2011/01/27 13:27:00.000000000,333 BLUE GRASS AVE,333 BLUE GRASS AVE,38.059024,-84.47040268,42943400,Exact Parcel
 10294,2011/01/26 00:00:00.000000000,1592 ALEXANDRIA DR,SIGHT DISTANCE ISSUE,CLOSED,2011/01/28 11:04:00.000000000,1592 ALEXANDRIA DR,1592 ALEXANDRIA DR,38.04425899,-84.55149889,14464840,Exact Parcel
 10295,2011/01/25 00:00:00.000000000,828 CAMPBELL LN,ILLEGAL BUSINESS,CLOSED,2011/02/08 12:46:00.000000000,828 CAMPBELL LN,828 CAMPBELL LN,38.01279068,-84.42510021,22555500,Exact Parcel
