SALEKEY,SALEDT,PRICE,SALETYPE,parcelId,ADDRESS,lat,lng
 329456,2011/01/03 00:00:00.000000000, 89254,FORECLOSURE PROCEEDINGS,11571200,597 BISHOP DR,38.07985345,-84.46634784
 329314,2011/01/03 00:00:00.000000000, 164752,MASTER COMMISSIONER SALE,11816950,723 CRAMER AVE,38.03893984,-84.48049929
 329316,2011/01/03 00:00:00.000000000, 175000,MASTER COMMISSIONER SALE,13781500,722 SUNSET DR,38.02849367,-84.49435367
 330489,2011/01/03 00:00:00.000000000, 66668,MASTER COMMISSIONER SALE,17042000,2025 NEW ORLEANS DR,38.05281955,-84.43262917
 329315,2011/01/04 00:00:00.000000000, 50000,MASTER COMMISSIONER SALE,11358700,1228 VENETIAN CIR,37.9789099,-84.48343644
 329326,2011/01/04 00:00:00.000000000, 148000,MASTER COMMISSIONER SALE,12660955,103 HAGERMAN CT,38.04235089,-84.49692186
 329273,2011/01/04 00:00:00.000000000, 74000,MASTER COMMISSIONER SALE,14371700,169 ST JAMES DR,38.02151507,-84.46292051
 329327,2011/01/04 00:00:00.000000000, 170000,MASTER COMMISSIONER SALE,16384000,145 MONTMULLIN ST,38.03893381,-84.50872328
 329362,2011/01/04 00:00:00.000000000, 120000,MASTER COMMISSIONER SALE,19968250,1100 CANYON CT,38.01273671,-84.40888669
 330369,2011/01/04 00:00:00.000000000, 60000,MASTER COMMISSIONER SALE,20007050,3361 ROYAL WOOD RD,37.97487689,-84.4575685
 330189,2011/01/04 00:00:00.000000000, 95000,FORECLOSURE PROCEEDINGS,20276542,3301 MT FORAKER DR,37.97953934,-84.45945081
 329370,2011/01/04 00:00:00.000000000, 80000,MASTER COMMISSIONER SALE,22554651,336 CHAMBERLAIN DR,37.97488372,-84.51691585
 329673,2011/01/04 00:00:00.000000000, 104000,FORECLOSURE PROCEEDINGS,38097300,160 LEATHERWOOD LN,38.08776603,-84.56174278
 329280,2011/01/04 00:00:00.000000000, 53000,FORECLOSURE PROCEEDINGS,46070700,216 OWSLEY AVE,38.03436792,-84.47617657
 329227,2011/01/05 00:00:00.000000000, 115000,FORECLOSURE PROCEEDINGS,14258900,346 OLDHAM AVE,38.0337505,-84.49309206
 329442,2011/01/06 00:00:00.000000000, 110000,MASTER COMMISSIONER SALE,20032080,1712 HUNTSMAN CT,37.96986919,-84.45541129
 329333,2011/01/06 00:00:00.000000000, 90000,MASTER COMMISSIONER SALE,20110580,4517 HARTLAND PKWY,37.9636426,-84.48801743
 329567,2011/01/06 00:00:00.000000000, 180000,MASTER COMMISSIONER SALE,38016510,2013 ALLEGHENY WAY,38.02694721,-84.5633368
 329276,2011/01/07 00:00:00.000000000, 22000,FORECLOSURE PROCEEDINGS,10444000,997 BRYAN AVE,38.05708596,-84.47500689
 329999,2011/01/07 00:00:00.000000000, 74000,MASTER COMMISSIONER SALE,10975150,2028 ST TERESA DR,38.0253618,-84.45923014
 329424,2011/01/07 00:00:00.000000000, 44950,FORECLOSURE PROCEEDINGS,12457200,718 BISKOFF CT,38.08899215,-84.46080813
 330257,2011/01/07 00:00:00.000000000, 95000,MASTER COMMISSIONER SALE,38172900,2312 REMINGTON WAY,38.09691637,-84.50646486
 329520,2011/01/07 00:00:00.000000000, 145000,MASTER COMMISSIONER SALE,54616200,743 ZANDALE DR,38.00219901,-84.50324721
 330260,2011/01/10 00:00:00.000000000, 46000,FORECLOSURE PROCEEDINGS,12776800,340 CAMPSIE CT,38.04760329,-84.4881972
 329441,2011/01/10 00:00:00.000000000, 60000,MASTER COMMISSIONER SALE,20463250,445 LIN WAL RD,38.07450468,-84.46308343
 329562,2011/01/10 00:00:00.000000000, 64000,MASTER COMMISSIONER SALE,46687200,1009 BIRCH DR,38.08921028,-84.51021134
 329642,2011/01/12 00:00:00.000000000, 90000,MASTER COMMISSIONER SALE,12138600,232 DERBY DR,38.00861571,-84.52362041
 329433,2011/01/12 00:00:00.000000000, 86000,MASTER COMMISSIONER SALE,20679550,2241 TUCSON DR,38.0182946,-84.54268377
 329431,2011/01/12 00:00:00.000000000, 153334,MASTER COMMISSIONER SALE,24175140,1045 CRESCENT AVE,38.03117155,-84.5148307
 329760,2011/01/12 00:00:00.000000000, 56767,MASTER COMMISSIONER SALE,27169009,3092 BONANZA DR,38.00789302,-84.4421554
 329986,2011/01/13 00:00:00.000000000, 34000,MASTER COMMISSIONER SALE,10839480,2061 TAMMY CT,38.09432173,-84.47726017
 329566,2011/01/13 00:00:00.000000000, 65000,MASTER COMMISSIONER SALE,11867700,1902 GREENLEAF DR,38.05825368,-84.44158602
 329888,2011/01/13 00:00:00.000000000, 141000,MASTER COMMISSIONER SALE,12341775,508 DUNAWAY ST,38.0461036,-84.50677877
 329460,2011/01/13 00:00:00.000000000, 170000,MASTER COMMISSIONER SALE,12872100,627 N MARTIN LUTHER KING BLVD,38.05291266,-84.48391983
 329746,2011/01/13 00:00:00.000000000, 6625000,MASTER COMMISSIONER SALE,13220455,475 LAKETOWER DR,38.01047376,-84.47114516
 329747,2011/01/13 00:00:00.000000000, 6625000,MASTER COMMISSIONER SALE,13220456,503 LAKETOWER DR,38.00838565,-84.46985071
 329748,2011/01/13 00:00:00.000000000, 6625000,MASTER COMMISSIONER SALE,16740000,519 LAKETOWER DR,38.00802758,-84.46785867
 329414,2011/01/13 00:00:00.000000000, 130000,FORECLOSURE PROCEEDINGS,19983110,433 WHITFIELD DR,37.96245527,-84.5209254
 329649,2011/01/13 00:00:00.000000000, 115000,MASTER COMMISSIONER SALE,22924707,9101 HICKORY HILL RD,37.86135392,-84.43312033
 330210,2011/01/13 00:00:00.000000000, 66668,MASTER COMMISSIONER SALE,25460700,3966 NORTHAMPTON DR,37.97410576,-84.5161583
 329981,2011/01/13 00:00:00.000000000, 93335,MASTER COMMISSIONER SALE,38039310,2445 CHECKERBERRY DR,38.01946634,-84.44339681
 329455,2011/01/13 00:00:00.000000000, 243850,MASTER COMMISSIONER SALE,38062300,2220 SUNNINGDALE DR,38.01640255,-84.40069986
 329452,2011/01/13 00:00:00.000000000, 48000,MASTER COMMISSIONER SALE,51443500,1721 SILVER LN,38.07684549,-84.46949753
 329453,2011/01/13 00:00:00.000000000, 62000,FORECLOSURE PROCEEDINGS,51443500,1721 SILVER LN,38.07684549,-84.46949753
 329585,2011/01/14 00:00:00.000000000, 85000,FORECLOSURE PROCEEDINGS,10020110,161 BITTERSWEET WAY,37.96817069,-84.52833584
 329465,2011/01/14 00:00:00.000000000, 86500,FORECLOSURE PROCEEDINGS,15995100,1148 CENTURIAN RD,37.98162856,-84.48591752
 329367,2011/01/14 00:00:00.000000000, 112875,FORECLOSURE PROCEEDINGS,19331760,1245 TELLURIDE CIR,38.0136579,-84.41340801
 329417,2011/01/14 00:00:00.000000000, 98800,FORECLOSURE PROCEEDINGS,19970460,833 REVERE RUN DR,38.02255655,-84.43631373
 329782,2011/01/14 00:00:00.000000000, 126000,FORECLOSURE PROCEEDINGS,20049680,4813 AGAPE DR,37.98650371,-84.58794144
 329416,2011/01/14 00:00:00.000000000, 140250,FORECLOSURE PROCEEDINGS,38048840,1541 PLAYER DR,38.08808959,-84.4814894
 330504,2011/01/17 00:00:00.000000000, 21000,MASTER COMMISSIONER SALE,15822200,742 BELLAIRE AVE,38.0612839,-84.48840657
 329912,2011/01/18 00:00:00.000000000, 164000,FORECLOSURE PROCEEDINGS,10043040,1117 GRIFFIN GATE DR,38.08428341,-84.4834441
 329570,2011/01/18 00:00:00.000000000, 92000,FORECLOSURE PROCEEDINGS,24816616,3813 LEE ADAMS LN,37.9784866,-84.55477047
 329436,2011/01/18 00:00:00.000000000, 152000,FORECLOSURE PROCEEDINGS,38151890,2973 MAHALA LN,38.02614665,-84.39871673
 329682,2011/01/19 00:00:00.000000000, 216000,MASTER COMMISSIONER SALE,10020680,400 REDDING RD,37.9857334,-84.50177381
 329718,2011/01/19 00:00:00.000000000, 135000,MASTER COMMISSIONER SALE,12039900,1524 CANTRILL DR,38.05028567,-84.44890948
 329418,2011/01/19 00:00:00.000000000, 140000,MASTER COMMISSIONER SALE,19983750,477 AMBERLEY DR,37.96167179,-84.52119788
 329467,2011/01/19 00:00:00.000000000, 525000,FORECLOSURE PROCEEDINGS,20123370,3975 LEMONS MILL PIKE,38.17938812,-84.480131
 329413,2011/01/19 00:00:00.000000000, 160000,MASTER COMMISSIONER SALE,38115250,4549 PARSONS LN,37.982904,-84.40847716
 329491,2011/01/19 00:00:00.000000000, 24000,MASTER COMMISSIONER SALE,42889650,1419 HIGHLAWN AVE,38.06116996,-84.47027208
 329619,2011/01/20 00:00:00.000000000, 85000,MASTER COMMISSIONER SALE,15532200,2212 AZALEA DR,38.02137796,-84.55050055
 329643,2011/01/20 00:00:00.000000000, 205000,MASTER COMMISSIONER SALE,20073030,1620 PINTAIL DR,38.08820614,-84.48568583
 329581,2011/01/21 00:00:00.000000000, 40000,FORECLOSURE PROCEEDINGS,10159425,574 BENTON RD,38.08013725,-84.46444815
 329470,2011/01/21 00:00:00.000000000, 60000,MASTER COMMISSIONER SALE,10653850,208 RADCLIFFE RD,38.08618209,-84.46668316
 329749,2011/01/24 00:00:00.000000000, 55500,FORECLOSURE PROCEEDINGS,10967409,3676 CLAREDON DR,37.97201365,-84.48454706
 329868,2011/01/24 00:00:00.000000000, 38000,MASTER COMMISSIONER SALE,11410950,913 N LIMESTONE,38.05912551,-84.47946791
