PermitNo,Address,SubmitDate,IssueDate,StartDate,CompleteDate,Name,PermitType,TypeOfWork,LaneBlockage,CleanAddress,MatchAddress,MatchType,parcelId,lat,lng
 20768,0 RICHMOND RD,2010/12/28 00:00:00.000000000,2011/01/10 00:00:00.000000000,2010/12/28 00:00:00.000000000,2011/01/18 00:00:00.000000000,"Time Warner Cable, Inc.",Installation,New Construction,Yes,RICHMOND RD,RICHMOND RD,Exact Parcel,38253050,-84.46141601,38.01620027
 20698,243 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Annual General Permit,Maintenance,No,243 IDLE HOUR DR,243 IDLE HOUR DR,Exact Parcel,10097100,-84.46372696,38.0256177
 20699,271 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/19 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,271 IDLE HOUR DR,271 IDLE HOUR DR,Exact Parcel,15366900,-84.46241898,38.02654973
 20700,263 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/28 00:00:00.000000000,2011/04/18 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,263 IDLE HOUR DR,263 IDLE HOUR DR,Exact Parcel,11619500,-84.46294878,38.02617234
 20701,4748 IRONBRIDGE DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/19 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,4748 IRONBRIDGE DR,4748 IRONBRIDGE DR,Exact Parcel,20035360,-84.49307184,37.95436596
 20702,290 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,290 IDLE HOUR DR,290 IDLE HOUR DR,Exact Parcel,11364900,-84.46036416,38.02696225
 20703,234 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/19 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,234 IDLE HOUR DR,234 IDLE HOUR DR,Exact Parcel,10124600,-84.46319236,38.02494571
 20704,243 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/19 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,243 IDLE HOUR DR,243 IDLE HOUR DR,Exact Parcel,10097100,-84.46372696,38.0256177
 20705,299 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,299 IDLE HOUR DR,299 IDLE HOUR DR,Exact Parcel,16943450,-84.46059753,38.02784785
 20706,294 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/05/19 00:00:00.000000000,Columbia Gas,Street Cut,Maintenance,Yes,294 IDLE HOUR DR,294 IDLE HOUR DR,Exact Parcel,13715800,-84.46010482,38.02714953
 20707,259 IDLE HOUR DR,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/05/19 00:00:00.000000000,Columbia Gas,Installation,Maintenance,No,259 IDLE HOUR DR,259 IDLE HOUR DR,Exact Parcel,17212940,-84.46320143,38.02599224
 20708,401 RACE ST,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/29 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Annual General Permit,Maintenance,No,401 RACE ST,401 RACE ST,Exact Parcel,10054120,-84.48444481,38.04564932
 20709,3345 HUNTING HILLS CT,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3345 HUNTING HILLS CT,3345 HUNTING HILLS CT,Exact Parcel,20031910,-84.45641447,37.96938221
 20710,283 IDLE HOUR DR,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/04/03 00:00:00.000000000,Columbia Gas,Installation,Repair,No,283 IDLE HOUR DR,283 IDLE HOUR DR,Exact Parcel,12389000,-84.46163846,38.02710608
 20711,275 IDLE HOUR DR,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Installation,Repair,No,275 IDLE HOUR DR,275 IDLE HOUR DR,Exact Parcel,10681200,-84.46215688,38.02673668
 20712,2188 BROADHEAD PL,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2188 BROADHEAD PL,2188 BROADHEAD PL,Exact Parcel,10025730,-84.48079268,37.94996177
 20713,295 IDLE HOUR DR,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/01/03 00:00:00.000000000,Columbia Gas,Installation,Repair,No,295 IDLE HOUR DR,295 IDLE HOUR DR,Exact Parcel,11408600,-84.4608589,38.02766162
 20714,279 IDLE HOUR DR,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/23 00:00:00.000000000,2011/01/13 00:00:00.000000000,Columbia Gas,Installation,Repair,No,279 IDLE HOUR DR,279 IDLE HOUR DR,Exact Parcel,16460551,-84.46189304,38.0269246
 20715,291 IDLE HOUR DR,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/23 00:00:00.000000000,2011/01/13 00:00:00.000000000,Columbia Gas,Installation,Repair,No,291 IDLE HOUR DR,291 IDLE HOUR DR,Exact Parcel,13175800,-84.46112215,38.02747409
 20716,500 N BROADWAY,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/20 00:00:00.000000000,2011/01/20 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,500 N BROADWAY,500 N BROADWAY,Exact Parcel,14185400,-84.49092353,38.05482379
 20717,3575 NEWTOWN PIKE,2011/01/03 00:00:00.000000000,2011/01/03 00:00:00.000000000,2010/12/30 00:00:00.000000000,2011/01/20 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,3575 NEWTOWN PIKE,3575 NEWTOWN PIKE,Exact Parcel,24733377,-84.48877382,38.13956518
 20718,663 ELM TREE LN,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/03 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,663 ELM TREE LN,663 ELM TREE LN,Exact Parcel,11562800,-84.48136492,38.05217423
 20719,1213 BIRMINGHAM LN,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/03 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Maintenance,No,1213 BIRMINGHAM LN,1213 BIRMINGHAM LN,Exact Parcel,19972650,-84.56942317,38.02209302
 20720,661 ELM TREE LN,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/03 00:00:00.000000000,2011/05/23 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,661 ELM TREE LN,661 ELM TREE LN,Exact Parcel,14889000,-84.48145904,38.05210916
 20721,3909 HILLSIDE DR,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/03 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3909 HILLSIDE DR,3909 HILLSIDE DR,Exact Parcel,20045650,-84.55931987,37.97443111
 20722,880 CORPORATE DR,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/03 00:00:00.000000000,2011/01/24 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,880 CORPORATE DR,880 CORPORATE DR,Exact Parcel,16863503,-84.55451928,38.01205348
 20724,430 MT TABOR RD,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/31 00:00:00.000000000,Columbia Gas,Annual General Permit,Add or Change Equipment,No,430 MT TABOR RD,430 MT TABOR RD,Exact Parcel,20037340,-84.45640684,38.00141007
 20725,334 E HIGH ST,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/09 00:00:00.000000000,2011/01/30 00:00:00.000000000,Kentucky Utilities,Installation,Add or Change Equipment,Yes,334 E HIGH ST,334 E HIGH ST,Exact Parcel,15645125,-84.4945398,38.04038915
 20726,971 EDGEWATER DR,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,971 EDGEWATER DR,971 EDGEWATER DR,Exact Parcel,15642650,-84.46972544,38.00003401
 20727,3804 BELLEAU WOOD DR,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3804 BELLEAU WOOD DR,3804 BELLEAU WOOD DR,Exact Parcel,20033670,-84.50741052,37.97271004
 20728,1038 ROCKBRIDGE RD,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/01/05 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1038 ROCKBRIDGE RD,1038 ROCKBRIDGE RD,Exact Parcel,20025820,-84.49370105,37.95514128
 20729,757 DE ROODE ST,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/06/25 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,757 DE ROODE ST,757 DE ROODE ST,Exact Parcel,38254570,-84.51180995,38.04971845
 20730,827 E SEVENTH ST,2011/01/05 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/01/25 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,827 E SEVENTH ST,827 E SEVENTH ST,Exact Parcel,12984300,-84.47048838,38.04395037
 20731,1094 ROCKBRIDGE RD,2011/01/06 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/07 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1094 ROCKBRIDGE RD,1094 ROCKBRIDGE RD,Exact Parcel,20018890,-84.49102085,37.95727622
 20732,1408 OAK HILL DR,2011/01/06 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/07 00:00:00.000000000,Columbia Gas,Annual General Permit,Add or Change Equipment,No,1408 OAK HILL DR,1408 OAK HILL DR,Exact Parcel,12494501,-84.46712404,38.05589655
 20733,222 E SIXTH ST,2011/01/06 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/06/26 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,222 E SIXTH ST,222 E SIXTH ST,Exact Parcel,15363000,-84.48395828,38.05135483
 20734,1312 SWOONALONG CT,2011/01/06 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/26 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,1312 SWOONALONG CT,1312 SWOONALONG CT,Exact Parcel,13826131,-84.47258528,37.97934917
 20735,389 GLEN ARVIN AVE,2011/01/06 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/05 00:00:00.000000000,2011/01/26 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,389 GLEN ARVIN AVE,389 GLEN ARVIN AVE,Exact Parcel,13001300,-84.50649438,38.06448263
 20736,3548 GALAHAD DR,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/04 00:00:00.000000000,2011/01/07 00:00:00.000000000,Columbia Gas,Installation,Repair,No,3548 GALAHAD DR,3548 GALAHAD DR,Exact Parcel,10901800,-84.51112582,37.98229174
 20737,272 KENTUCKY AVE,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/20 00:00:00.000000000,2011/08/10 00:00:00.000000000,Kentucky American Water,Street Cut,New Construction,Yes,272 KENTUCKY AVE,272 KENTUCKY AVE,Exact Parcel,13638825,-84.49456668,38.03383965
