X,Y,SCLINK,ROADNAME,MAINTENANC,RDCLASS,LFROM,LTO,RFROM,RTO,SPEED,KYDOT,ONEWAY,DIR,NAME,TYPE,UPDATE_,NEWDATE,SCPARENT,SCGPARENT,SCMERGE,TOUCH,RTNO,TWN,MCODE,ESN,SID,ZIP_LEFT,ZIP_RIGHT,ANNO
-84.481914643223575,37.969687795263887,13837,TRENT CIR,L,6,3716,3716,3721,3721,25,,B,,TRENT,CIR,2009/03/19,1998/09/10,10327,0,0,,,Lexington,101,100,1918,40517,40517,Trent Cir
-84.427027338142949,38.01289803979526,13802,CADENTOWN RD,S,6,2711,2853,2700,2852,35,D78,B,,CADENTOWN,RD,2008/08/12,1998/09/10,5853,0,0,,,Lexington,101,100,4373,40509,40509,Cadentown Rd
-84.493110677454652,38.040969723224187,7656,OLD VINE ST,L,5,325,365,328,350,25,,B,,OLD VINE,ST,2012/11/20,1998/09/10,0,0,0,,,Lexington,101,100,2905,40507,40507,Old Vine St
-84.492456064372405,38.040388126897795,7657,OLD VINE ST,L,5,401,401,400,400,25,,B,,OLD VINE,ST,2000/02/21,1998/09/10,0,0,0,,,Lexington,101,100,2905,40507,40507,Old Vine St
-84.491780822328892,38.039827344101255,7658,OLD VINE ST,L,5,431,431,432,440,25,,B,,OLD VINE,ST,2007/08/29,1998/09/10,0,0,0,,,Lexington,101,100,2905,40507,40507,Old Vine St
-84.490854254529808,38.03904897447935,7659,OLD VINE ST,L,5,0,0,450,450,25,,B,,OLD VINE,ST,2000/02/21,1998/09/10,0,0,0,,,Lexington,101,100,2905,40507,40507,Old Vine St
-84.519528531568184,38.018069403265997,13818,SOPHIA ALY,L,8,0,0,0,0,15,,B,,SOPHIA,ALY,,2008/09/05,0,0,0,,,Lexington,101,100,4374,40503,40503,Sophia Aly
-84.54244910286539,37.968749953150315,13644,LOBLOLLY WAY,L,6,0,0,3951,3955,25,,B,,LOBLOLLY,WAY,2007/08/20,2007/04/06,0,0,0,04,,Lexington,101,100,4322,40514,40514,Loblolly Way
-84.543968494731686,37.967927317165447,12718,SWEETSPIRE DR,L,6,4048,4092,4049,4093,25,,B,,SWEETSPIRE,DR,2006/12/06,2004/10/21,12714,0,0,,,Lexington,101,100,4103,40514,40514,Sweetspire Dr
-84.542765163807644,37.968049858322892,13640,LOBLOLLY WAY,L,6,3960,3960,3965,3969,25,,B,,LOBLOLLY,WAY,2007/08/20,2007/04/06,0,0,0,04,,Lexington,101,100,4322,40514,40514,Loblolly Way
-84.543092486934171,37.967359723594299,13641,LOBLOLLY WAY,L,6,3980,3980,3977,3985,25,,B,,LOBLOLLY,WAY,2012/08/24,2007/04/06,0,0,0,04,,Lexington,101,100,4322,40514,40514,Loblolly Way
-84.531330042836885,38.066020400971311,13820,TOWNE SQUARE PARK,L,6,0,0,201,201,25,,B,,TOWNE SQUARE,PARK,2008/09/09,2006/04/18,13324,0,0,10,,Lexington,101,100,4229,40511,40511,Towne Square Park
-84.398429463687705,38.018882390333467,11384,SUNNINGDALE DR,L,6,2288,2292,2281,2297,25,,B,,SUNNINGDALE,DR,2001/08/01,2000/09/11,0,0,0,,,Lexington,101,100,3688,40509,40509,Sunningdale Dr
-84.397996286820444,38.019312026044574,11385,SUNNINGDALE DR,L,6,2300,2312,2301,2309,25,,B,,SUNNINGDALE,DR,2001/08/01,2000/09/11,0,0,0,,,Lexington,101,100,3688,40509,40509,Sunningdale Dr
-84.539956062376902,37.997420426649839,2937,DORCHESTER PL,L,6,0,0,0,0,25,,B,,DORCHESTER,PL,2000/12/07,2000/07/14,0,0,0,,,Lexington,101,100,3634,40503,40503,Dorchester Pl
-84.547114964274797,38.018224536379194,4417,HARRODSBURG RD,S,3,0,0,2452,2400,45,B92,FT,,HARRODSBURG,RD,2003/05/16,1998/09/10,0,0,0,,,Lexington,101,100,886,40504,40504,Harrodsburg Rd
-84.544451545597184,37.977829507170775,11447,MOSSBRIDGE WAY,L,6,3657,3601,3656,3600,25,,B,,MOSSBRIDGE,WAY,2001/03/02,2001/03/02,0,0,0,,,Lexington,101,100,3673,40514,40514,Mossbridge Way
-84.544441768999803,37.976868003889969,11449,MILLPOND RD,L,5,584,588,577,585,25,,B,,MILLPOND,RD,2002/04/17,1998/09/10,0,0,0,,,Lexington,101,100,2530,40514,40514,Millpond Rd
-84.542842885081271,38.000504801487523,11478,WELLINGTON WAY,L,4,0,0,584,564,35,,FT,,WELLINGTON,WAY,2000/12/13,1998/09/10,10832,0,0,,,Lexington,101,100,2016,40503,40503,Wellington Way
-84.541842746188763,38.000241778748482,11681,MARSTON PL,L,6,0,0,0,0,25,,B,,MARSTON,PL,2001/05/03,2000/07/14,0,0,0,,,Lexington,101,100,3621,40503,40503,Marston Pl
-84.575749593029357,38.024134328852362,4265,GUILFORD LN,P,6,2296,2292,2297,2293,25,,B,,GUILFORD,LN,2001/07/02,2000/04/10,0,0,0,,,Lexington,101,100,3749,40513,40513,Guilford Ln
-84.512298487792805,38.052158785258818,7990,PERRY ST,L,6,242,262,241,261,25,,B,,PERRY,ST,2006/12/04,1998/09/10,0,0,0,,,Lexington,101,100,1494,40508,40508,Perry St
-84.505874845141236,38.050335487961291,4689,W HIGH ST,S,3,718,724,705,735,35,D03,FT,W,HIGH,ST,2003/05/16,1998/09/10,0,0,0,,60,Lexington,101,100,930,40508,40508,W High St
-84.512222997946623,38.051025047540257,10467,VALLEY AVE,L,6,1000,1004,1001,1005,25,,B,,VALLEY,AVE,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,1949,40508,40508,Valley Ave
-84.511270525851302,38.047856377254838,2770,DE ROODE ST,L,6,716,716,0,0,25,,B,,DE ROODE,ST,2006/11/27,1998/09/10,0,0,0,,,Lexington,101,100,533,40508,40508,De Roode St
-84.511077667408316,38.047450858956921,2769,DE ROODE ST,L,6,704,714,701,701,25,,B,,DE ROODE,ST,2012/11/20,1998/09/10,0,0,0,,,Lexington,101,100,533,40508,40508,De Roode St
-84.510524709249438,38.046800972098801,2767,DE ROODE ST,L,6,600,616,563,619,25,,B,,DE ROODE,ST,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,533,40508,40508,De Roode St
-84.510895994667763,38.047149248520974,11527,MCKINLEY ST,L,6,0,0,0,0,25,,B,,MCKINLEY,ST,2001/08/31,1998/09/10,0,0,0,,,Lexington,101,100,1283,40508,40508,Mckinley St
-84.498805271208582,38.054509164708172,11578,HUGH ALY,L,8,0,0,0,0,15,,B,,HUGH,ALY,2006/05/26,1998/09/10,0,0,0,,,Lexington,101,100,3756,40507,40507,Hugh Aly
-84.492600560132075,38.038681162764235,11603,RANSOM AVE,L,6,138,162,137,161,25,,B,,RANSOM,AVE,2001/10/15,1998/09/10,8391,0,0,,,Lexington,101,100,1574,40507,40507,Ransom Ave
-84.493092879342584,38.038334819116614,11604,RANSOM AVE,L,6,0,0,163,163,25,,B,,RANSOM,AVE,2001/10/15,1998/09/10,8391,0,0,,,Lexington,101,100,1574,40507,40507,Ransom Ave
-84.544136209229194,38.062376633115647,11521,OLD FRANKFORT PIKE,S,4,0,0,0,0,35,,B,,OLD FRANKFORT,PIKE,2001/10/15,1998/09/10,0,0,0,,1681,Lexington,101,100,744,40510,40510,Old Frankfort Pike
-84.339582547513032,37.88819489965838,8665,RIVER RD,P,6,0,0,0,0,55,,B,,RIVER,RD,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,3374,40515,40515,River Rd
-84.352414302561428,37.894053582056401,4962,N 75,S,1,0,0,986,988,70,353,FT,N,75,,1998/09/10,1998/09/10,0,0,0,,75,Lexington,101,100,3782,40515,40515,N 75
-84.444898212879536,37.990675573228032,9565,SQUIRES CIR,L,6,372,378,371,379,25,,B,,SQUIRES,CIR,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,1772,40515,40515,Squires Cir
-84.569705019439525,38.028056146995098,1825,CAROLINA LN,L,6,2253,2261,2252,2260,25,,B,,CAROLINA,LN,2000/12/07,2000/12/07,0,0,0,,,Lexington,101,100,3614,40513,40513,Carolina Ln
-84.570212966075346,38.027739186894244,156,SAVANNAH LN,L,6,2196,2192,2201,2193,25,,B,,SAVANNAH,LN,2000/12/07,2000/12/07,8997,0,0,,,Lexington,101,100,3181,40513,40513,Savannah Ln
-84.567802419834635,38.02687802989152,161,SELMA CT,L,6,1309,1301,1312,1300,25,,B,,SELMA,CT,2000/12/07,2000/12/07,0,0,0,,,Lexington,101,100,3612,40513,40513,Selma Ct
-84.566838012862547,38.025850816166262,1962,CHAMBLEE LN,L,6,2257,2249,2256,2248,25,,B,,CHAMBLEE,LN,1999/11/22,1999/11/22,0,0,0,,,Lexington,101,100,3163,40513,40513,Chamblee Ln
-84.568033493932248,38.024938588547585,7475,NORCROSS CT,L,6,1300,1320,1301,1321,25,,B,,NORCROSS,CT,1999/04/19,1998/09/10,0,0,0,,,Lexington,101,100,3501,40513,40513,Norcross Ct
-84.567211966613925,38.025118066760939,1961,CHAMBLEE LN,L,6,2273,2269,2272,2260,25,,B,,CHAMBLEE,LN,1999/11/22,1999/11/22,0,0,0,,,Lexington,101,100,3163,40513,40513,Chamblee Ln
-84.544674837342413,37.994315195765644,11641,DRAYTON PL,L,6,3380,3396,3373,3397,25,,B,,DRAYTON,PL,2001/11/06,2001/11/02,0,0,0,,,Lexington,101,100,3620,40503,40503,Drayton Pl
-84.479311771535833,38.027685710633811,11250,WOODSPOINT RD,L,6,0,0,0,0,25,,B,,WOODSPOINT,RD,2001/11/06,1998/09/10,0,0,0,,,Lexington,101,100,2110,40502,40502,Woodspoint Rd
-84.593787611798007,37.991503788052491,10756,WATERSIDE CT,L,6,4716,4718,4719,4721,25,,B,,WATERSIDE,CT,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,2608,40513,40513,Waterside Ct
-84.594043051507455,37.991851501333741,6403,MANSION VIEW CT,L,6,2501,2505,2500,2504,25,,B,,MANSION VIEW,CT,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,2609,40513,40513,Mansion View Ct
-84.402509754088285,38.021732633366277,844,BARRINGTON LN,L,6,2200,2216,2201,2225,25,,B,,BARRINGTON,LN,2000/02/22,1999/11/03,0,0,0,,,Lexington,101,100,3534,40509,40509,Barrington Ln
-84.344279462294296,37.884693081631113,879,BEACH RD,C,6,0,0,8839,8839,55,,B,,BEACH,RD,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,145,40515,40515,Beach Rd
-84.344718781235841,37.889002861374976,3026,DURBIN LN,C,6,8707,8715,8708,8716,55,,B,,DURBIN,LN,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,602,40515,40515,Durbin Ln
-84.367211170874896,38.038421340022907,8854,ROYSTER RD,C,6,3639,3689,3640,3690,55,293,B,,ROYSTER,RD,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,1648,40516,40516,Royster Rd
-84.320834477679981,38.026557135357166,8684,RIVIERA CT,C,6,250,342,249,343,35,,B,,RIVIERA,CT,2001/12/18,1998/09/10,0,0,0,,,Lexington,101,100,1612,40509,40509,Riviera Ct
-84.601753630019303,38.120107549687944,5791,LEESTOWN RD,S,4,4700,5098,4701,5099,55,,B,,LEESTOWN,RD,2000/08/09,1998/09/10,0,0,0,,421,Lexington,101,100,1145,40511,40511,Leestown Rd
-84.326178718378429,38.045931847686127,4913,W 64 RAMP,S,1,0,0,0,0,45,429,FT,W,64,RAMP,2000/01/06,1998/09/10,0,0,0,,,Lexington,101,100,3832,40516,40516,W 64 Ramp
-84.3198924832014,38.057623993908329,10974,WILLOW LN,C,6,4001,4207,4000,4208,55,,B,,WILLOW,LN,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,2060,40516,40516,Willow Ln
-84.419593743205482,38.043639851526535,4977,N 75 RAMP,S,1,0,0,0,0,45,G36,FT,N,75,RAMP,2001/08/01,1998/09/10,0,0,0,,,Lexington,101,100,3783,40516,40516,N 75 Ramp
-84.42206353934057,38.046748265772351,4960,N 75,S,1,0,0,1100,1102,65,392,FT,N,75,,2013/02/08,1998/09/10,0,0,0,,75,Lexington,101,100,3782,40505,40505,N 75
-84.416909855239453,38.040847535764676,11085,WINCHESTER RD,S,4,0,0,0,0,55,290,FT,,WINCHESTER,RD,1999/12/09,1998/09/10,0,0,0,,60,Lexington,101,100,2068,40516,40516,Winchester Rd
-84.416385052876606,38.040724958486415,4863,HUME RD,C,6,0,0,0,0,35,289,B,,HUME,RD,2002/12/17,1998/09/10,0,0,0,,,Lexington,101,100,972,40516,40516,Hume Rd
-84.421368128882278,38.041100463859543,5005,S 75 RAMP,S,1,0,0,0,0,45,,FT,S,75,RAMP,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,3808,40505,40505,S 75 Ramp
-84.422325368800387,38.041095443438202,11055,WINCHESTER RD,S,3,0,0,2400,2424,55,,FT,,WINCHESTER,RD,2000/02/21,1998/09/10,0,0,0,,60,Lexington,101,100,2068,40505,40505,Winchester Rd
-84.421282738260516,38.040655844142336,5007,S 75 RAMP,S,1,0,0,0,0,45,,FT,S,75,RAMP,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,3808,40505,40505,S 75 Ramp
-84.419700268347427,38.048409779081318,4861,HUME RD,C,6,2039,2159,2040,2160,35,288,B,,HUME,RD,2002/12/17,1998/09/10,0,0,0,,,Lexington,101,100,972,40516,40516,Hume Rd
-84.417726949667653,38.047792069408978,464,AMI LN,P,6,2101,2157,2100,2158,55,,B,,AMI,LN,1998/09/10,1998/09/10,0,0,0,,,Lexington,101,100,35,40516,40516,Ami Ln
-84.366521937465834,38.031058488829466,11060,WINCHESTER RD,S,4,3879,4007,3822,4006,55,296,B,,WINCHESTER,RD,2000/02/21,1998/09/10,0,0,0,,60,Lexington,101,100,2068,40509,40509,Winchester Rd
-84.358215117213732,38.033148459953871,8747,ROLLING HILLS CT,C,6,4201,4227,4200,4228,55,,B,,ROLLING HILLS,CT,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,1625,40516,40516,Rolling Hills Ct
-84.370943660242574,38.038487552796113,10454,UTTINGER LN,C,6,2841,2995,2842,2996,55,,B,,UTTINGER,LN,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,1946,40516,40516,Uttinger Ln
-84.295801899250222,38.029019972637641,6024,LOFGREN CT,P,6,4001,4099,4000,4098,55,,B,,LOFGREN,CT,2000/01/06,1998/09/10,0,0,0,,,Lexington,101,100,1193,40509,40509,Lofgren Ct
-84.329039436391398,38.031344549672539,3130,EASTPOINT DR,C,6,2519,2549,2520,2550,30,,B,,EASTPOINT,DR,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,614,40516,40516,Eastpoint Dr
-84.329201870797036,38.033662962468476,5871,LILYDALE CT,C,6,4002,4028,4001,4029,30,,B,,LILYDALE,CT,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,1164,40516,40516,Lilydale Ct
-84.33007523955898,38.034033040796672,3132,EASTPOINT DR,C,6,2579,2609,2580,2610,30,,B,,EASTPOINT,DR,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,614,40516,40516,Eastpoint Dr
-84.329586942854419,38.032783278838778,3131,EASTPOINT DR,C,6,2551,2577,2552,2578,30,,B,,EASTPOINT,DR,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,614,40516,40516,Eastpoint Dr
-84.328682616959654,38.029745388753319,3133,EASTPOINT DR,C,6,2501,2517,2500,2518,30,,B,,EASTPOINT,DR,2001/12/06,1998/09/10,0,0,0,,,Lexington,101,100,614,40516,40516,Eastpoint Dr
-84.321625502930686,38.028697247760029,11045,WINCHESTER RD,S,4,5275,5673,5276,5672,55,271,B,,WINCHESTER,RD,2000/01/06,1998/09/10,0,0,0,,60,Lexington,101,100,2068,40509,40509,Winchester Rd
-84.332848521207637,38.02895610615257,11062,WINCHESTER RD,S,4,5001,5249,5000,5250,55,271,B,,WINCHESTER,RD,2000/02/21,1998/09/10,0,0,0,,60,Lexington,101,100,2068,40509,40509,Winchester Rd
