CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
13701312#3,2011,1312 NANCY HANKS RD#3,2011/02/23 00:00:00.000,Housing,Invalid Complaint,2011/02/25 00:00:00.000,Y,1312 NANCY HANKS RD,Block Level,NANCY HANKS RD,,-84.522798534984531,38.047210880952171
43512568,2011,2568 LINDENHURST LOOP,2011/04/07 00:00:00.000,Housing,Invalid Complaint,2011/04/11 00:00:00.000,Y,2568 LINDENHURST LOOP,Block Level,LINDENHURST LOOP,,-84.427082295644709,38.004591330024404
00421954-2,2011,1954 ANNISTON CT,2011/04/26 00:00:00.000,Housing,Invalid Complaint,2011/05/02 00:00:00.000,Y,1954 ANNISTON CT,Block Level,ANNISTON CT,,-84.442373855405052,38.063131053439406
32176784,2011,6784 OLD RICHMOND RD,2011/01/04 00:00:00.000,Housing,Invalid Complaint,2011/01/10 00:00:00.000,Y,6784 OLD RICHMOND RD,Block Level,OLD RICHMOND RD,,-84.38172784151395,37.930010069187162
14680219#813-2,2011,219 PATCHEN DR#813,2011/01/18 00:00:00.000,Housing,Invalid Complaint,2011/04/07 00:00:00.000,Y,219 PATCHEN DR,Block Level,PATCHEN DR,,-84.457275850333943,38.007209002736239
10111754#H7,2011,1754 JENNIFER RD#H7,2011/01/24 00:00:00.000,Housing,Invalid Complaint,2011/01/25 00:00:00.000,Y,1754 JENNIFER RD,Block Level,JENNIFER RD,,-84.448870535902515,38.04430165327183
33000179,2011,179 ALAMO DR,2011/01/28 00:00:00.000,Housing,Invalid Complaint,2011/02/03 00:00:00.000,Y,179 ALAMO DR,Block Level,ALAMO DR,,-84.541310754545435,38.158059418670902
13222110,2011,2110 MIMI CT,2011/02/04 00:00:00.000,Housing,Invalid Complaint,2011/03/01 00:00:00.000,Y,2110 MIMI CT,Block Level,MIMI CT,,-84.458379567613449,38.081395859509016
02501477#G-3,2011,1477 N BROADWAY APT G,2011/02/24 00:00:00.000,Housing,Invalid Complaint,2011/03/07 00:00:00.000,Y,1477 N BROADWAY,Block Level,N BROADWAY,,-84.475726922604053,38.065713757724687
03641317#18-2,2011,1317 CENTRE PKWY #18,2011/02/28 00:00:00.000,Housing,Invalid Complaint,2011/03/01 00:00:00.000,Y,1317 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.476330888570672,37.980774816397123
17661993,2011,1993 SPRING STATION DR,2011/03/18 00:00:00.000,Housing,Invalid Complaint,2011/03/23 00:00:00.000,Y,1993 SPRING STATION DR,Block Level,SPRING STATION DR,,-84.447732762577814,38.067485153566125
05580228,2011,228 DEVONIA AVE,2011/04/05 00:00:00.000,Housing,Invalid Complaint,2011/04/07 00:00:00.000,Y,228 DEVONIA AVE,Block Level,DEVONIA AVE,,-84.474226580738446,38.058013233972893
11580266-1,2011,266 LEXINGTON AVE,2011/04/13 00:00:00.000,Housing,Invalid Complaint,2011/04/18 00:00:00.000,Y,266 LEXINGTON AVE,Block Level,LEXINGTON AVE,,-84.497689482078471,38.042540343635103
