CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
32176784,2011,6784 OLD RICHMOND RD,2011/01/04 00:00:00.000000000,Housing,Invalid Complaint,2011/01/10 00:00:00.000000000,Y,6784 OLD RICHMOND RD,,,,,
14680219#813-2,2011,219 PATCHEN DR#813,2011/01/18 00:00:00.000000000,Housing,Invalid Complaint,2011/04/07 00:00:00.000000000,Y,219 PATCHEN DR,,,,,
10111754#H7,2011,1754 JENNIFER RD#H7,2011/01/24 00:00:00.000000000,Housing,Invalid Complaint,2011/01/25 00:00:00.000000000,Y,1754 JENNIFER RD,,,,,
33000179,2011,179 ALAMO DR,2011/01/28 00:00:00.000000000,Housing,Invalid Complaint,2011/02/03 00:00:00.000000000,Y,179 ALAMO DR,,,,,
13222110,2011,2110 MIMI CT,2011/02/04 00:00:00.000000000,Housing,Invalid Complaint,2011/03/01 00:00:00.000000000,Y,2110 MIMI CT,,,,,
13701312#3,2011,1312 NANCY HANKS RD#3,2011/02/23 00:00:00.000000000,Housing,Invalid Complaint,2011/02/25 00:00:00.000000000,Y,1312 NANCY HANKS RD,,,,,
02501477#G-3,2011,1477 N BROADWAY APT G,2011/02/24 00:00:00.000000000,Housing,Invalid Complaint,2011/03/07 00:00:00.000000000,Y,1477 N BROADWAY,,,,,
03641317#18-2,2011,1317 CENTRE PKWY #18,2011/02/28 00:00:00.000000000,Housing,Invalid Complaint,2011/03/01 00:00:00.000000000,Y,1317 CENTRE PKWY,,,,,
17661993,2011,1993 SPRING STATION DR,2011/03/18 00:00:00.000000000,Housing,Invalid Complaint,2011/03/23 00:00:00.000000000,Y,1993 SPRING STATION DR,,,,,
05580228,2011,228 DEVONIA AVE,2011/04/05 00:00:00.000000000,Housing,Invalid Complaint,2011/04/07 00:00:00.000000000,Y,228 DEVONIA AVE,,,,,
43512568,2011,2568 LINDENHURST LOOP,2011/04/07 00:00:00.000000000,Housing,Invalid Complaint,2011/04/11 00:00:00.000000000,Y,2568 LINDENHURST LOOP,,,,,
11580266-1,2011,266 LEXINGTON AVE,2011/04/13 00:00:00.000000000,Housing,Invalid Complaint,2011/04/18 00:00:00.000000000,Y,266 LEXINGTON AVE,,,,,
00231685-5,2011,1685 ALEXANDRIA DR,2011/04/15 00:00:00.000000000,Housing,Invalid Complaint,2011/04/18 00:00:00.000000000,Y,1685 ALEXANDRIA DR,,,,,
09391701-1,2011,1701 HILL RISE DR,2011/04/21 00:00:00.000000000,Housing,Invalid Complaint,2011/04/25 00:00:00.000000000,Y,1701 HILL RISE DR,,,,,
03641317#57,2011,1317 CENTRE PKWY #57,2011/04/22 00:00:00.000000000,Housing,Invalid Complaint,2011/04/25 00:00:00.000000000,Y,1317 CENTRE PKWY,,,,,
16360490-2,2011,490 ROSEMILL DR,2011/04/22 00:00:00.000000000,Housing,Invalid Complaint,2011/04/26 00:00:00.000000000,Y,490 ROSEMILL DR,,,,,
00421954-2,2011,1954 ANNISTON CT,2011/04/26 00:00:00.000000000,Housing,Invalid Complaint,2011/05/02 00:00:00.000000000,Y,1954 ANNISTON CT,,,,,
17010140-142,2011,140-142 SHAWNEE AVE,2011/05/04 00:00:00.000000000,Housing,Invalid Complaint,2011/05/05 00:00:00.000000000,Y,140 SHAWNEE AVE,,,,,
12384535,2011,4535 MANDEVILLE WAY,2011/05/05 00:00:00.000000000,Housing,Invalid Complaint,2011/05/08 00:00:00.000000000,Y,4535 MANDEVILLE WAY,,,,,
15291529-7,2011,1529 PORT ROYAL DR,2011/05/09 00:00:00.000000000,Housing,Invalid Complaint,2011/05/10 00:00:00.000000000,Y,1529 PORT ROYAL DR,,,,,
11253994,2011,3994 LANSDOWNE DR,2011/05/17 00:00:00.000000000,Housing,Invalid Complaint,2011/05/19 00:00:00.000000000,Y,3994 LANSDOWNE DR,,,,,
