SALEKEY,SALEDT,ADDRESS,PRICE,SALEVAL,parcelId,lat,lng
 329761,2011/01/24 00:00:00.000000000,, 860000,14,38195690,,
 329762,2011/01/24 00:00:00.000000000,, 860000,14,38195700,,
 329763,2011/01/24 00:00:00.000000000,, 860000,14,38195710,,
 329764,2011/01/24 00:00:00.000000000,, 860000,14,38195720,,
 329765,2011/01/24 00:00:00.000000000,, 860000,14,38195730,,
 329766,2011/01/24 00:00:00.000000000,, 860000,14,38195740,,
 329767,2011/01/24 00:00:00.000000000,, 860000,14,38195750,,
 329768,2011/01/24 00:00:00.000000000,, 860000,14,38195760,,
 329769,2011/01/24 00:00:00.000000000,, 860000,14,38195770,,
 329770,2011/01/24 00:00:00.000000000,, 860000,14,38195780,,
 329771,2011/01/24 00:00:00.000000000,, 860000,14,38195790,,
 329773,2011/01/24 00:00:00.000000000,, 860000,14,38195830,,
 329772,2011/01/24 00:00:00.000000000,, 860000,14,38195840,,
 330901,2011/03/09 00:00:00.000000000,, 1966667,14,38054550,,
 330910,2011/03/25 00:00:00.000000000,, 1200000,12,10059850,,
 330909,2011/03/25 00:00:00.000000000,, 1200000,12,11684650,,
 330908,2011/03/25 00:00:00.000000000,, 1200000,12,12331700,,
 330916,2011/03/25 00:00:00.000000000,, 1200000,12,14098750,,
 330912,2011/03/25 00:00:00.000000000,, 1200000,12,14787400,,
 330911,2011/03/25 00:00:00.000000000,, 1200000,12,14787450,,
 330913,2011/03/25 00:00:00.000000000,, 1200000,12,14787500,,
 330915,2011/03/25 00:00:00.000000000,, 1200000,12,14787700,,
 336539,2011/09/16 00:00:00.000000000,, 115000,14,15135600,,
 345119,2012/07/25 00:00:00.000000000,, 0,14,24555153,,
 359556,2013/11/06 00:00:00.000000000,, 150000,14,38229530,,
 359557,2013/11/06 00:00:00.000000000,, 150000,14,38229540,,
