SALEKEY,SALEDT,ADDRESS,PRICE,SALEVAL,parcelId,lat,lng
 329456,2011/01/03 00:00:00.000000000,597 BISHOP DR, 89254,12,11571200,-84.46634784,38.07985345
 329314,2011/01/03 00:00:00.000000000,723 CRAMER AVE, 164752,14,11816950,-84.48049929,38.03893984
 329316,2011/01/03 00:00:00.000000000,722 SUNSET DR, 175000,14,13781500,-84.49435367,38.02849367
 330489,2011/01/03 00:00:00.000000000,2025 NEW ORLEANS DR, 66668,14,17042000,-84.43262917,38.05281955
 329315,2011/01/04 00:00:00.000000000,1228 VENETIAN CIR, 50000,14,11358700,-84.48343644,37.9789099
 329326,2011/01/04 00:00:00.000000000,103 HAGERMAN CT, 148000,14,12660955,-84.49692186,38.04235089
 329273,2011/01/04 00:00:00.000000000,169 ST JAMES DR, 74000,14,14371700,-84.46292051,38.02151507
 329327,2011/01/04 00:00:00.000000000,145 MONTMULLIN ST, 170000,14,16384000,-84.50872328,38.03893381
 329362,2011/01/04 00:00:00.000000000,1100 CANYON CT, 120000,14,19968250,-84.40888669,38.01273671
 330369,2011/01/04 00:00:00.000000000,3361 ROYAL WOOD RD, 60000,14,20007050,-84.4575685,37.97487689
 330189,2011/01/04 00:00:00.000000000,3301 MT FORAKER DR, 95000,12,20276542,-84.45945081,37.97953934
 329370,2011/01/04 00:00:00.000000000,336 CHAMBERLAIN DR, 80000,14,22554651,-84.51691585,37.97488372
 329673,2011/01/04 00:00:00.000000000,160 LEATHERWOOD LN, 104000,12,38097300,-84.56174278,38.08776603
 329280,2011/01/04 00:00:00.000000000,216 OWSLEY AVE, 53000,12,46070700,-84.47617657,38.03436792
 329227,2011/01/05 00:00:00.000000000,346 OLDHAM AVE, 115000,12,14258900,-84.49309206,38.0337505
 329442,2011/01/06 00:00:00.000000000,1712 HUNTSMAN CT, 110000,14,20032080,-84.45541129,37.96986919
 329333,2011/01/06 00:00:00.000000000,4517 HARTLAND PKWY, 90000,14,20110580,-84.48801743,37.9636426
 329567,2011/01/06 00:00:00.000000000,2013 ALLEGHENY WAY, 180000,14,38016510,-84.5633368,38.02694721
 329276,2011/01/07 00:00:00.000000000,997 BRYAN AVE, 22000,12,10444000,-84.47500689,38.05708596
 329999,2011/01/07 00:00:00.000000000,2028 ST TERESA DR, 74000,14,10975150,-84.45923014,38.0253618
 329424,2011/01/07 00:00:00.000000000,718 BISKOFF CT, 44950,12,12457200,-84.46080813,38.08899215
 330257,2011/01/07 00:00:00.000000000,2312 REMINGTON WAY, 95000,14,38172900,-84.50646486,38.09691637
 329520,2011/01/07 00:00:00.000000000,743 ZANDALE DR, 145000,14,54616200,-84.50324721,38.00219901
 330260,2011/01/10 00:00:00.000000000,340 CAMPSIE CT, 46000,12,12776800,-84.4881972,38.04760329
 329441,2011/01/10 00:00:00.000000000,445 LIN WAL RD, 60000,14,20463250,-84.46308343,38.07450468
 329562,2011/01/10 00:00:00.000000000,1009 BIRCH DR, 64000,14,46687200,-84.51021134,38.08921028
 329642,2011/01/12 00:00:00.000000000,232 DERBY DR, 90000,14,12138600,-84.52362041,38.00861571
 329433,2011/01/12 00:00:00.000000000,2241 TUCSON DR, 86000,14,20679550,-84.54268377,38.0182946
 329431,2011/01/12 00:00:00.000000000,1045 CRESCENT AVE, 153334,14,24175140,-84.5148307,38.03117155
 329760,2011/01/12 00:00:00.000000000,3092 BONANZA DR, 56767,14,27169009,-84.4421554,38.00789302
 329986,2011/01/13 00:00:00.000000000,2061 TAMMY CT, 34000,14,10839480,-84.47726017,38.09432173
 329566,2011/01/13 00:00:00.000000000,1902 GREENLEAF DR, 65000,14,11867700,-84.44158602,38.05825368
 329888,2011/01/13 00:00:00.000000000,508 DUNAWAY ST, 141000,14,12341775,-84.50677877,38.0461036
 329460,2011/01/13 00:00:00.000000000,627 N MARTIN LUTHER KING BLVD, 170000,14,12872100,-84.48391983,38.05291266
 329746,2011/01/13 00:00:00.000000000,475 LAKETOWER DR, 6625000,14,13220455,-84.47114516,38.01047376
 329747,2011/01/13 00:00:00.000000000,503 LAKETOWER DR, 6625000,14,13220456,-84.46985071,38.00838565
 329748,2011/01/13 00:00:00.000000000,519 LAKETOWER DR, 6625000,14,16740000,-84.46785867,38.00802758
 329414,2011/01/13 00:00:00.000000000,433 WHITFIELD DR, 130000,12,19983110,-84.5209254,37.96245527
 329649,2011/01/13 00:00:00.000000000,9101 HICKORY HILL RD, 115000,14,22924707,-84.43312033,37.86135392
 330210,2011/01/13 00:00:00.000000000,3966 NORTHAMPTON DR, 66668,14,25460700,-84.5161583,37.97410576
 329981,2011/01/13 00:00:00.000000000,2445 CHECKERBERRY DR, 93335,14,38039310,-84.44339681,38.01946634
 329455,2011/01/13 00:00:00.000000000,2220 SUNNINGDALE DR, 243850,14,38062300,-84.40069986,38.01640255
 329452,2011/01/13 00:00:00.000000000,1721 SILVER LN, 48000,14,51443500,-84.46949753,38.07684549
 329453,2011/01/13 00:00:00.000000000,1721 SILVER LN, 62000,12,51443500,-84.46949753,38.07684549
 329585,2011/01/14 00:00:00.000000000,161 BITTERSWEET WAY, 85000,12,10020110,-84.52833584,37.96817069
 329465,2011/01/14 00:00:00.000000000,1148 CENTURIAN RD, 86500,12,15995100,-84.48591752,37.98162856
 329367,2011/01/14 00:00:00.000000000,1245 TELLURIDE CIR, 112875,12,19331760,-84.41340801,38.0136579
 329417,2011/01/14 00:00:00.000000000,833 REVERE RUN DR, 98800,12,19970460,-84.43631373,38.02255655
 329782,2011/01/14 00:00:00.000000000,4813 AGAPE DR, 126000,12,20049680,-84.58794144,37.98650371
 329416,2011/01/14 00:00:00.000000000,1541 PLAYER DR, 140250,12,38048840,-84.4814894,38.08808959
 330504,2011/01/17 00:00:00.000000000,742 BELLAIRE AVE, 21000,14,15822200,-84.48840657,38.0612839
 329912,2011/01/18 00:00:00.000000000,1117 GRIFFIN GATE DR, 164000,12,10043040,-84.4834441,38.08428341
 329570,2011/01/18 00:00:00.000000000,3813 LEE ADAMS LN, 92000,12,24816616,-84.55477047,37.9784866
 329436,2011/01/18 00:00:00.000000000,2973 MAHALA LN, 152000,12,38151890,-84.39871673,38.02614665
 329682,2011/01/19 00:00:00.000000000,400 REDDING RD, 216000,14,10020680,-84.50177381,37.9857334
 329718,2011/01/19 00:00:00.000000000,1524 CANTRILL DR, 135000,14,12039900,-84.44890948,38.05028567
 329418,2011/01/19 00:00:00.000000000,477 AMBERLEY DR, 140000,14,19983750,-84.52119788,37.96167179
