ID,Date,Address,Suite,PermitType,ConstructionCost,OwnerName,Contractor,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng,MatchAddress_1,parcelId_1,lat_1,lng_1,Benchmark,Format,Geocoderinput
173262,2012/11/30 00:00:00.000000000,4330 EVANGELINE LN                                ,                                                  ,TOWNHOUSE                                         ,50000,R M L CONSTRUCTION LLC                            ,R M L CONSTRUCTION LLC                            ,4330 EVANGELINE LN,,,,,,,,,,4,json,4330 EVANGELINE LN LEXINGTON KY
187348,2015/02/02 00:00:00.000000000,3271 ALCOTT PL                                    ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",3728.92,RML CONSTRUCTION LLP                              ,STIVERS HVAC INC                                  ,3271 ALCOTT PL,,,,,,,,,,4,json,3271 ALCOTT PL LEXINGTON KY
172575,2012/10/19 00:00:00.000000000,4244 EVANGELINE LN                                ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,"BALL HOMES, INC.                                  ",STIVERS HVAC INC                                  ,4244 EVANGELINE LN,,,,,,,,,,4,json,4244 EVANGELINE LN LEXINGTON KY
185997,2014/10/24 00:00:00.000000000,433 JERSEY ST                                     ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,INSOMNIA COOKIES                                  ,                                                  ,433 JERSEY ST,,,,,,,,,,4,json,433 JERSEY ST LEXINGTON KY
177530,2013/07/22 00:00:00.000000000,356 PREAKNESS DR                                  ,                                                  ,ZONING COMPLIANCE HOME OFFICE (N/C)               ,0,ERYN DAILEY-DEMBY                                 ,ERYN DAILEY-DEMBY                                 ,356 PREAKNESS DR,,,,,,,,,,4,json,356 PREAKNESS DR LEXINGTON KY
176110,2013/06/10 00:00:00.000000000,3349 TATES CREEK RD                               ,                                                  ,RETAIL SALES REMODELING                           ,105000,RITE AID PHARMACY                                 ,"SUN INDUSTRIAL, INC                               ",3349 TATES CREEK RD,,,,,,,,,,4,json,3349 TATES CREEK RD LEXINGTON KY
187517,2015/02/11 00:00:00.000000000,3321 ALCOTT PL                                    ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",4200,BALL HOMES                                        ,CENTRAL KY HEATING & AIR                          ,3321 ALCOTT PL,,,,,,,,,,4,json,3321 ALCOTT PL LEXINGTON KY
166100,2011/10/20 00:00:00.000000000,3347 TATES CREEK RD                               ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,GOTTA DANCE STUDIO                                ,CLIMATE CONTROL CORPORATION                       ,3347 TATES CREEK RD,,,,,,,,,,4,json,3347 TATES CREEK RD LEXINGTON KY
166223,2011/10/27 00:00:00.000000000,3567 HALEY RD                                     ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,JIM THORNBERRY                                    ,CHRISTOPHER & SMITH HEATING & AC                  ,3567 HALEY RD,,,,,,,,,,4,json,3567 HALEY RD LEXINGTON KY
168994,2012/04/30 00:00:00.000000000,725 STONE RD                                      ,                                                  ,"GRADING, COMMERCIAL                               ",0,MONTESSORI MIDDLE SCHOOL OF KY                    ,ADVANCED MULCHING TECHNOLOGIES INC                ,725 STONE RD,,,,,,,,,,4,json,725 STONE RD LEXINGTON KY
169681,2012/05/29 00:00:00.000000000,675 BYRD THURMAN DR                               ,                                                  ,REMODELING GOV BUILDING/LOCAL                     ,61850,LFUCG/DIV OF FACILITIES MANAGEMENT                ,CHURCHILL MCGEE LLP                               ,675 BYRD THURMAN DR,,,,,,,,,,4,json,675 BYRD THURMAN DR LEXINGTON KY
186661,2014/12/09 00:00:00.000000000,3266 ALCOTT PL                                    ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",4153.12,RML CONSTRUCTION LLP                              ,STIVERS HVAC INC                                  ,3266 ALCOTT PL,,,,,,,,,,4,json,3266 ALCOTT PL LEXINGTON KY
162024,2011/02/07 00:00:00.000000000,1984 PAVILION WAY                                 ,                                                  ,SIGNS                                             ,5000,DRESS BARN                                        ,AMERICAN SIGN & GRAPHICS LLC                      ,1984 PAVILION WAY,,,,,,,,,,4,json,1984 PAVILION WAY LEXINGTON KY
